id,a_volume,b_volume,c_volume,d_volume,from_a_volume0,from_a_volume1,from_a_volume2,from_b_volume0,from_b_volume1,from_b_volume2,from_c_volume0,from_c_volume1,from_c_volume2,from_d_volume0,from_d_volume1,from_d_volume2
27,12,3,15,0,0,0,0,0,0,0,3,12,0,0,0,0
28,14,22,8,0,0,0,0,14,0,0,8,0,0,0,0,0
29,175,175,0,0,0,160,0,0,15,0,0,0,0,0,0,0
30,28,0,28,0,0,14,0,0,0,0,0,14,0,0,0,0
31,214,175,28,0,14,160,0,0,15,0,0,0,14,0,0,0
32,1958,3492,575,2331,68,296,944,355,410,0,7,256,0,16,1776,39
33,560,3223,1281,2694,108,0,72,30,563,0,801,155,325,0,1339,63
34,885,313,302,0,0,0,0,313,0,0,0,302,0,0,0,0
35,885,885,0,0,0,270,0,0,615,0,0,0,0,0,0,0
36,873,873,0,0,0,258,0,0,615,0,0,0,0,0,0,0
37,95,41,130,0,92,0,0,0,38,0,0,0,0,0,0,0
38,37,14,41,0,32,0,0,0,9,0,0,0,0,0,0,0
39,7,22,29,0,0,0,0,0,0,0,22,7,0,0,0,0
40,0,1707,68,1828,0,0,0,0,335,68,0,0,0,0,1293,0
41,0,1818,1707,0,0,0,0,0,414,0,0,1293,0,0,0,0
42,572,687,131,0,2,0,410,154,0,0,0,123,6,0,0,0
43,501,1508,573,1980,137,140,75,0,367,0,0,83,77,272,1061,66
44,798,204,592,0,0,221,121,83,0,0,0,371,0,0,0,0
45,177,204,381,0,0,154,0,0,0,121,83,23,0,0,0,0
46,401,1358,533,1426,0,284,0,0,210,29,24,96,29,71,1095,21
47,695,679,401,779,121,279,69,40,204,5,23,93,0,0,338,93
48,441,247,163,0,0,82,44,0,0,59,4,18,0,0,0,0
49,133,137,270,0,0,113,0,0,0,86,51,20,0,0,0,0
50,660,140,679,0,0,239,13,35,0,10,81,349,0,0,0,0
51,144,1407,1358,0,20,0,78,11,219,0,0,1084,35,0,0,0
52,1308,1705,671,0,39,834,0,0,333,229,301,0,102,0,0,0
53,864,429,53,0,0,286,0,0,108,33,2,0,9,0,0,0
54,65,0,55,0,8,0,0,0,0,0,0,0,47,0,0,0
55,395,338,779,0,0,286,2,33,0,135,88,74,0,0,0,0
56,1205,269,1063,286,0,712,126,0,72,0,0,316,0,35,71,43
57,1283,213,1205,145,0,784,31,121,37,0,0,342,17,62,24,5
58,839,145,704,0,0,525,86,54,0,0,5,174,0,0,0,0
59,652,309,833,0,461,0,64,0,135,0,0,110,127,0,0,0
60,686,554,839,0,0,481,205,0,0,130,45,0,0,0,0,0
61,5,148,153,0,0,0,0,0,0,0,0,148,5,0,0,0
62,31,5,5,31,12,0,0,0,0,0,5,0,0,0,0,19
63,153,148,5,0,0,0,0,0,148,0,0,0,5,0,0,0
64,129,946,153,618,0,0,0,129,139,0,153,0,0,0,479,0
65,19,19,0,0,0,0,8,11,0,0,0,0,0,0,0,0
66,172,499,14,204,0,0,155,17,22,0,0,0,1,3,178,0
67,381,307,100,0,0,30,149,145,0,13,0,57,0,0,0,0
68,223,506,307,0,12,0,182,29,146,0,0,149,0,0,0,0
69,185,307,165,0,0,0,185,0,95,0,0,27,0,0,0,0
70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,59,59,0,0,0,0,0,59,0,0,0,0,0,0,0,0
73,805,191,59,0,0,0,132,0,0,59,0,0,0,0,0,0
74,638,638,0,0,0,0,638,0,0,0,0,0,0,0,0,0
75,608,30,638,0,0,0,0,0,0,0,30,608,0,0,0,0
76,30,30,0,0,0,0,30,0,0,0,0,0,0,0,0,0
77,30,0,30,0,0,0,0,0,0,0,0,30,0,0,0,0
78,56,2016,638,2710,56,0,0,0,819,0,0,0,0,638,1197,0
79,645,2288,219,2016,0,160,76,276,816,0,0,56,3,0,1120,77
80,366,2710,2344,0,0,0,366,0,875,0,0,1469,0,0,0,0
81,200,1074,366,1640,200,0,0,0,270,0,0,0,0,366,804,0
82,1311,2318,3304,0,344,0,0,0,667,0,0,1443,850,0,0,0
83,682,1640,1324,0,0,0,490,9,0,461,680,183,0,0,0,0
84,718,778,1074,0,23,0,0,211,247,0,0,320,484,0,0,0
85,991,718,273,0,200,23,0,0,695,0,0,0,73,0,0,0
86,73,273,200,0,0,0,73,0,0,200,0,0,0,0,0,0
87,80,264,216,0,0,16,64,0,0,200,0,0,0,0,0,0
88,99,197,111,0,47,1,0,0,39,0,0,0,12,0,0,0
89,3,32,0,0,0,0,2,1,0,0,0,0,0,0,0,0
90,103,117,60,0,0,0,65,15,0,30,7,23,0,0,0,0
91,201,222,269,273,0,201,0,0,3,0,0,0,12,0,1,0
92,0,636,201,435,0,0,0,0,435,201,0,0,0,0,0,0
93,333,1201,1006,549,41,0,0,0,472,325,353,292,36,0,0,0
94,137,564,607,0,90,0,0,47,517,0,0,0,0,0,0,0
95,435,274,259,0,0,210,225,0,0,49,0,0,0,0,0,0
96,274,1266,1442,0,225,0,0,49,364,0,0,853,0,0,0,0
97,1482,63,1545,0,0,0,0,0,0,0,63,1482,0,0,0,0
98,477,83,497,63,0,0,0,0,0,0,20,477,0,0,63,0
99,0,635,652,0,0,0,0,0,0,0,635,0,0,0,0,0
100,652,83,569,0,0,0,0,83,0,0,0,569,0,0,0,0
101,83,0,83,0,0,0,0,0,0,0,0,0,83,0,0,0
102,635,635,0,0,0,0,635,0,0,0,0,0,0,0,0,0
103,33,565,652,0,0,0,33,0,0,0,0,532,0,0,0,0
104,536,37,565,0,0,0,0,4,0,0,33,532,0,0,0,0
105,37,607,636,0,33,0,0,4,603,0,0,0,0,0,0,0
106,45,480,536,0,0,0,45,0,0,0,0,435,0,0,0,0
107,34,0,141,16,0,34,0,0,0,0,0,0,0,0,0,0
108,99,16,118,0,0,0,0,0,0,0,0,16,99,0,0,0
109,285,55,504,0,0,1,0,0,0,40,15,284,0,0,0,0
110,8,59,12,55,0,0,0,0,40,0,9,3,0,0,10,5
111,47,97,260,0,0,46,1,0,0,0,96,0,0,0,0,0
112,107,1,11,97,0,0,0,0,0,0,0,11,0,0,1,96
113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,53,1468,299,1762,0,9,20,0,847,0,0,0,0,290,601,24
115,41,1447,46,1468,8,0,0,33,802,0,0,0,37,9,612,0
116,299,278,20,0,0,261,0,0,0,0,17,0,0,0,0,0
117,0,1391,56,1447,0,0,0,0,779,0,0,0,56,0,612,0
118,56,267,56,267,0,0,0,16,43,0,0,40,16,0,208,0
119,111,74,4,189,47,0,0,0,6,0,0,0,4,0,68,64
120,66,128,74,0,6,60,0,0,0,0,68,0,0,0,0,0
121,167,74,186,267,40,47,0,0,0,0,0,33,19,87,74,47
122,20,116,136,0,0,0,0,0,0,52,64,20,0,0,0,0
123,55,167,160,184,26,0,0,0,158,9,0,25,0,0,0,0
124,264,209,53,478,0,0,0,0,209,0,0,24,0,29,0,240
125,0,25,25,0,0,0,0,0,0,0,0,25,0,0,0,0
126,173,0,173,0,0,0,0,0,0,0,0,173,0,0,0,0
127,260,25,261,0,0,0,0,0,22,0,0,0,238,0,0,0
128,261,21,240,0,0,0,0,21,0,0,0,240,0,0,0,0
129,21,4,25,0,0,0,0,0,0,0,0,4,21,0,0,0
130,1167,209,1529,0,670,0,0,0,209,0,0,0,497,0,0,0
131,687,241,1170,0,0,429,0,0,0,241,0,258,0,0,0,0
132,999,1194,0,0,0,853,0,0,146,0,0,0,0,0,0,0
133,324,227,687,0,0,202,0,0,0,227,0,122,0,0,0,0
134,1334,217,1121,0,0,853,26,189,0,0,0,266,0,0,0,0
135,217,0,26,191,0,26,0,0,0,0,0,0,0,0,0,191
136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
137,19,26,45,0,0,0,0,0,0,26,0,19,0,0,0,0
138,596,199,471,74,0,175,0,199,0,0,0,222,0,74,0,0
139,915,170,596,0,0,175,0,170,0,0,0,421,0,0,0,0
140,471,183,39,0,0,0,0,183,0,0,0,39,0,0,0,0
141,595,154,279,369,0,0,0,0,47,0,0,274,1,0,0,321
142,0,10,10,0,0,0,0,0,0,10,0,0,0,0,0,0
143,410,285,125,0,0,90,1,284,0,0,0,35,0,0,0,0
144,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
145,103,47,478,391,0,38,0,0,31,16,0,65,144,215,0,0
146,277,3,274,0,0,0,0,3,0,0,0,274,0,0,0,0
147,171,171,0,0,0,171,0,0,0,0,0,0,0,0,0,0
148,485,262,177,142,85,0,0,163,57,0,0,177,0,0,0,0
149,1036,623,413,0,147,0,0,0,623,0,0,0,266,0,0,0
150,313,54,0,0,0,0,47,0,0,0,0,0,0,0,0,0
151,184,10,311,144,0,184,0,0,0,0,0,0,0,127,10,0
152,265,1923,440,1964,14,187,64,0,733,81,0,0,0,172,1045,0
153,206,163,262,0,0,99,0,0,0,163,0,0,0,0,0,0
154,54,54,0,0,0,0,0,0,54,0,0,0,0,0,0,0
155,403,286,172,396,168,0,0,0,228,0,0,172,0,0,0,0
156,420,419,176,181,30,0,0,187,151,0,0,176,0,0,0,0
157,15,448,196,267,0,0,0,0,56,95,86,15,0,0,211,0
158,542,408,0,0,0,29,0,0,379,0,0,0,0,0,0,0
159,621,59,568,0,0,81,0,24,0,2,33,452,0,0,0,0
160,60,813,425,448,20,28,0,0,131,155,230,12,0,0,297,0
161,737,1670,122,813,0,0,558,178,286,122,0,0,0,0,526,1
162,186,125,61,0,0,44,123,0,0,2,0,15,0,0,0,0
163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
165,458,320,778,0,0,458,0,0,0,0,320,0,0,0,0,0
166,7,805,798,0,0,0,7,0,0,0,798,0,0,0,0,0
167,351,1587,6,1692,166,0,0,0,609,0,0,0,0,6,735,176
168,47,47,0,0,0,47,0,0,0,0,0,0,0,0,0,0
169,219,798,89,608,0,0,160,0,0,0,30,59,0,0,608,0
170,89,59,30,0,0,0,0,0,59,0,0,0,30,0,0,0
171,160,186,915,1398,9,0,0,0,186,0,0,0,591,324,0,151
172,45,55,4,0,0,26,0,0,19,0,4,0,0,0,0,0
173,2,6,0,0,0,0,0,0,2,0,0,0,0,0,0,0
174,278,360,58,116,0,46,232,0,52,12,0,0,0,0,64,0
175,46,267,42,393,0,0,9,3,56,0,0,34,8,0,199,0
176,1398,167,1391,0,0,746,40,47,0,33,47,565,0,0,0,0
177,4,14,18,0,0,4,0,0,0,14,0,0,0,0,0,0
178,451,325,0,0,0,0,0,0,325,0,0,0,0,0,0,0
179,2031,1972,870,0,328,1135,0,0,415,158,173,0,153,0,0,0
180,179,257,501,469,0,126,0,0,42,11,44,53,52,215,160,0
181,653,474,179,0,0,126,301,173,0,0,0,53,0,0,0,0
182,163,386,241,0,52,89,0,0,11,95,65,0,11,0,0,0
183,472,592,177,257,0,0,301,171,40,10,10,0,13,144,60,0
184,1240,1309,137,0,53,829,0,0,351,33,44,0,7,0,0,0
185,833,562,363,0,0,173,423,106,0,0,0,131,0,0,0,0
186,213,774,336,333,0,55,0,158,152,174,107,0,0,0,181,0
187,0,213,213,0,0,0,0,0,0,158,55,0,0,0,0,0
188,740,0,1283,554,130,610,0,0,0,0,0,0,174,205,0,0
189,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
190,5,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0
191,12,31,19,0,0,0,4,8,0,11,8,0,0,0,0,0
192,12,0,12,0,4,0,0,0,0,0,0,0,8,0,0,0
193,219,369,0,0,0,38,0,0,181,0,0,0,0,0,0,0
194,238,172,307,0,0,87,0,0,0,8,155,57,0,0,0,0
195,671,12,659,0,0,181,4,8,0,0,0,478,0,0,0,0
196,268,223,467,0,0,186,12,0,0,29,182,70,0,0,0,0
197,0,223,91,234,0,0,0,0,96,0,0,0,38,0,100,0
198,3156,73,3229,0,0,787,0,0,0,0,73,2369,0,0,0,0
199,2640,534,2252,0,0,236,0,183,0,3,342,1671,0,0,0,0
200,658,1442,80,2180,210,0,0,0,589,0,0,0,0,80,853,448
201,2180,991,1611,0,0,576,223,557,0,211,0,824,0,0,0,0
202,0,103,103,0,0,0,0,0,0,65,38,0,0,0,0,0
203,1545,1611,3156,0,0,0,0,0,787,0,0,824,1545,0,0,0
204,234,0,1545,0,0,0,0,0,0,0,0,234,0,0,0,0
205,1466,1482,0,0,0,0,0,0,1466,0,0,0,0,0,0,0
206,1451,67,1466,0,0,0,0,26,0,0,41,1425,0,0,0,0
207,0,920,1467,0,0,0,0,0,0,0,840,0,0,0,0,0
208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
210,259,658,187,0,0,12,210,0,0,175,0,0,0,0,0,0
211,187,187,0,0,0,0,0,187,0,0,0,0,0,0,0,0
212,229,477,67,0,0,0,0,0,204,26,0,0,25,0,0,0
213,350,430,229,0,0,0,314,0,0,0,116,36,0,0,0,0
214,0,394,394,0,0,0,0,0,0,80,314,0,0,0,0,0
215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
218,260,76,586,480,0,46,0,0,0,0,15,117,0,45,61,97
219,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0
220,1,81,11,73,0,1,0,0,0,0,10,0,0,0,71,0
221,0,73,73,0,0,0,0,0,0,0,0,73,0,0,0,0
222,11,73,8,76,0,0,0,0,0,0,0,8,0,0,73,3
223,6,9,15,0,1,0,0,0,0,3,6,0,5,0,0,0
224,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
225,0,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0
226,1980,214,2012,0,0,519,62,29,0,0,123,1370,0,0,0,0
227,204,47,192,0,0,0,31,0,0,0,16,173,0,0,0,0
228,449,56,565,0,0,412,0,4,0,0,0,2,0,0,0,0
229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
230,191,60,191,0,0,0,0,30,0,0,30,161,0,0,0,0
231,117,1692,2036,0,65,0,6,0,775,0,0,911,45,0,0,0
232,100,873,28,873,11,0,30,0,247,0,0,28,0,0,586,29
233,910,630,765,0,0,149,59,100,0,0,0,602,0,0,0,0
234,1356,158,1198,0,0,345,0,158,0,0,0,853,0,0,0,0
235,726,15,1188,0,159,0,15,0,0,0,0,0,552,0,0,0
236,28,571,599,0,0,0,0,0,0,0,571,28,0,0,0,0
237,182,467,381,427,0,88,94,0,135,0,57,0,100,91,101,0
238,155,31,204,0,0,0,0,0,31,0,0,0,155,0,0,0
239,12,170,158,0,0,0,9,3,31,0,0,127,0,0,0,0
240,216,35,99,0,0,48,0,0,0,0,35,15,0,0,0,0
241,1932,528,1452,0,0,394,45,459,0,24,0,1034,0,0,0,0
242,381,1441,1508,0,131,0,144,13,241,0,0,1043,93,0,0,0
243,674,95,571,0,0,0,95,0,0,0,0,571,0,0,0,0
244,190,132,265,150,0,150,40,0,0,0,0,0,58,0,92,0
245,12,1351,1363,0,0,0,0,0,848,0,0,503,12,0,0,0
246,201,1219,1349,0,0,31,0,36,0,817,366,134,0,0,0,0
247,91,53,129,0,0,0,0,20,0,0,0,71,0,0,0,0
248,191,401,61,0,0,0,148,43,0,53,0,0,0,0,0,0
249,2946,3066,0,0,0,1248,0,0,1698,0,0,0,0,0,0,0
250,5,143,138,0,0,0,0,5,138,0,0,0,0,0,0,0
251,528,100,628,0,0,45,0,0,0,100,0,483,0,0,0,0
252,154,0,154,0,0,154,0,0,0,0,0,0,0,0,0,0
253,78,0,571,0,0,0,0,0,0,0,0,78,0,0,0,0
254,148,148,0,0,0,0,148,0,0,0,0,0,0,0,0,0
255,154,154,0,0,0,154,0,0,0,0,0,0,0,0,0,0
256,1972,1972,0,0,0,664,0,0,1308,0,0,0,0,0,0,0
257,31,31,0,0,0,31,0,0,0,0,0,0,0,0,0,0
258,186,260,0,0,0,0,0,0,186,0,0,0,0,0,0,0
259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
262,571,571,0,0,0,0,0,571,0,0,0,0,0,0,0,0
263,332,269,0,0,0,72,0,0,197,0,0,0,0,0,0,0
264,7,7,0,0,0,7,0,0,0,0,0,0,0,0,0,0
265,37,37,0,0,0,0,0,0,37,0,0,0,0,0,0,0
266,236,25,265,0,0,0,0,0,0,0,25,236,0,0,0,0
267,0,184,41,209,0,0,0,0,176,8,0,0,33,0,0,0
268,265,0,265,0,0,0,0,0,0,0,0,265,0,0,0,0
269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
270,440,300,184,0,0,162,278,0,0,22,0,0,0,0,0,0
271,37,37,0,0,0,24,0,0,13,0,0,0,0,0,0,0
272,171,171,0,0,0,0,0,0,171,0,0,0,0,0,0,0
273,463,463,0,0,0,463,0,0,0,0,0,0,0,0,0,0
274,452,452,0,0,0,452,0,0,0,0,0,0,0,0,0,0
275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
276,494,494,0,0,0,397,0,0,97,0,0,0,0,0,0,0
277,6,6,0,0,0,0,0,6,0,0,0,0,0,0,0,0
278,128,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0
279,6,0,6,0,0,6,0,0,0,0,0,0,0,0,0,0
280,60,189,249,0,0,60,0,0,0,189,0,0,0,0,0,0
281,1096,36,1094,0,0,207,0,0,0,0,36,851,0,0,0,0
282,433,119,432,0,21,0,0,0,0,0,119,0,292,0,0,0
283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
285,75,75,0,0,0,75,0,0,0,0,0,0,0,0,0,0
286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
287,0,427,192,0,0,0,0,0,0,0,0,192,0,0,0,0
288,400,1353,953,0,0,0,148,252,314,0,0,639,0,0,0,0
289,180,180,0,0,0,38,0,0,142,0,0,0,0,0,0,0
290,25,136,111,0,0,0,20,5,0,47,64,0,0,0,0,0
291,1762,25,1787,0,0,847,0,0,0,5,20,915,0,0,0,0
292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
295,363,653,699,0,0,137,126,24,0,191,301,70,0,0,0,0
296,1168,699,469,0,0,375,371,328,0,0,0,94,0,0,0,0
297,469,469,0,0,0,94,0,0,375,0,0,0,0,0,0,0
298,180,1534,1353,0,0,0,142,38,566,0,0,787,0,0,0,0
299,363,1185,1534,0,0,171,2,5,0,434,744,185,0,0,0,0
300,1094,0,1369,0,0,207,0,0,0,0,0,887,0,0,0,0
301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
302,671,0,672,0,0,268,0,0,0,0,0,403,0,0,0,0
303,40,191,164,0,11,0,0,0,3,0,0,148,2,0,0,0
304,180,180,0,0,0,38,0,0,142,0,0,0,0,0,0,0
305,180,180,0,0,0,142,0,0,38,0,0,0,0,0,0,0
306,107,155,48,0,0,0,107,0,38,0,0,10,0,0,0,0
307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
309,216,274,458,0,200,0,16,0,258,0,0,0,0,0,0,0
310,197,645,650,0,1,0,0,0,96,313,236,0,100,0,0,0
311,0,58,54,0,0,0,0,0,7,0,0,47,0,0,0,0
312,274,650,376,0,0,0,16,258,0,56,320,0,0,0,0,0
313,10,0,10,0,0,0,0,0,0,0,0,10,0,0,0,0
314,320,376,56,0,0,0,320,0,0,56,0,0,0,0,0,0
315,37,37,0,0,0,4,0,0,33,0,0,0,0,0,0,0
316,125,137,0,0,0,0,90,35,0,0,0,0,0,0,0,0
317,75,0,107,0,0,0,0,0,0,0,0,75,0,0,0,0
318,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0
319,117,48,81,0,0,0,0,43,0,0,5,74,0,0,0,0
320,122,116,238,0,122,0,0,0,116,0,0,0,0,0,0,0
321,49,141,178,0,0,0,6,0,34,0,0,101,43,0,0,0
322,15,36,59,0,0,4,0,0,0,36,0,11,0,0,0,0
323,36,157,201,0,0,0,0,0,31,0,0,126,36,0,0,0
324,244,55,352,0,230,0,0,0,8,0,0,47,14,0,0,0
325,54,40,17,0,0,0,0,40,0,0,0,14,0,0,0,0
326,0,14,265,279,0,0,0,0,14,0,0,0,265,0,0,0
327,17,40,77,0,0,0,0,17,0,2,21,0,0,0,0,0
328,333,26,403,0,0,133,19,1,0,0,0,180,0,0,0,0
329,265,14,279,0,0,0,0,0,0,0,0,14,265,0,0,0
330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
331,184,0,184,0,0,184,0,0,0,0,0,0,0,0,0,0
332,26,187,218,0,0,19,0,0,0,185,2,7,0,0,0,0
333,331,118,187,0,185,18,0,0,100,0,0,0,2,0,0,0
334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
336,457,454,0,0,0,280,0,0,174,0,0,0,0,0,0,0
337,52,186,0,0,0,52,0,0,0,0,0,0,0,0,0,0
338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
340,8,61,53,0,0,0,8,0,53,0,0,0,0,0,0,0
341,568,569,0,0,0,77,0,0,485,0,0,0,0,0,0,0
342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
344,433,380,377,0,0,37,17,186,0,0,0,193,0,0,0,0
345,15,15,0,0,0,0,0,0,15,0,0,0,0,0,0,0
346,16,16,0,0,0,16,0,0,0,0,0,0,0,0,0,0
347,363,363,0,0,0,173,0,0,190,0,0,0,0,0,0,0
348,215,8,223,0,0,123,0,0,0,0,8,92,0,0,0,0
349,12,12,0,0,0,8,0,0,4,0,0,0,0,0,0,0
350,44,26,0,0,0,26,0,0,0,0,0,0,0,0,0,0
351,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
352,270,270,0,0,0,199,0,0,71,0,0,0,0,0,0,0
353,334,159,822,0,0,0,0,0,0,119,0,334,0,0,0,0
354,850,147,703,0,0,0,147,0,0,0,0,703,0,0,0,0
355,211,211,0,0,0,0,0,0,211,0,0,0,0,0,0,0
356,211,267,56,0,0,0,211,0,0,56,0,0,0,0,0,0
357,11,211,0,0,0,0,0,0,11,0,0,0,0,0,0,0
358,147,21,124,0,115,0,0,0,9,0,0,0,0,0,0,0
359,2031,1463,0,0,0,0,0,0,1463,0,0,0,0,0,0,0
360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
361,2231,2936,0,0,0,209,0,0,1991,0,0,0,0,0,0,0
362,3229,3228,0,0,0,786,0,0,2442,0,0,0,0,0,0,0
363,234,234,0,0,0,234,0,0,0,0,0,0,0,0,0,0
364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
367,394,920,0,0,0,80,0,0,314,0,0,0,0,0,0,0
368,2863,2863,0,0,0,815,0,0,2048,0,0,0,0,0,0,0
369,16,16,0,0,0,16,0,0,0,0,0,0,0,0,0,0
370,411,678,0,0,0,310,0,0,101,0,0,0,0,0,0,0
371,197,197,0,0,0,196,0,0,1,0,0,0,0,0,0,0
372,3,31,0,0,0,1,0,0,2,0,0,0,0,0,0,0
373,1262,914,0,0,0,589,0,0,325,0,0,0,0,0,0,0
374,1405,1313,0,0,0,937,0,0,376,0,0,0,0,0,0,0
375,726,928,0,0,0,552,0,0,174,0,0,0,0,0,0,0
376,202,368,0,0,0,202,0,0,0,0,0,0,0,0,0,0
377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
378,864,524,0,0,0,443,0,0,11,0,0,0,0,0,0,0
379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
380,31,31,0,0,0,0,0,0,31,0,0,0,0,0,0,0
381,95,56,0,0,0,56,0,0,0,0,0,0,0,0,0,0
382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
383,173,240,0,0,0,0,0,0,173,0,0,0,0,0,0,0
384,238,238,0,0,0,0,0,0,238,0,0,0,0,0,0,0
385,234,236,0,0,0,0,0,0,234,0,0,0,0,0,0,0
386,31,31,0,0,0,31,0,0,0,0,0,0,0,0,0,0
387,1349,1351,0,0,0,848,0,0,501,0,0,0,0,0,0,0
388,14,8,0,0,0,8,0,0,0,0,0,0,0,0,0,0
389,28,28,0,0,0,14,0,0,14,0,0,0,0,0,0,0
390,597,674,0,0,0,141,0,0,455,0,0,0,0,0,0,0
391,533,533,0,0,0,149,0,0,384,0,0,0,0,0,0,0
392,618,625,0,0,0,139,0,0,479,0,0,0,0,0,0,0
393,129,129,0,0,0,129,0,0,0,0,0,0,0,0,0,0
394,172,172,0,0,0,17,0,0,155,0,0,0,0,0,0,0
395,659,644,0,0,0,166,0,0,478,0,0,0,0,0,0,0
396,5,5,0,0,0,0,0,0,5,0,0,0,0,0,0,0
397,5,5,0,0,0,0,0,0,5,0,0,0,0,0,0,0
398,147,148,0,0,0,0,0,0,147,0,0,0,0,0,0,0
